Date,time 9:00,time 10:00,time 11:00,time 12:00,time 13:00,time 14:00,time 15:00,time 16:00,time 17:00
12/13/2023,available,not available,not available,available,not available,available,available,not available,available
12/14/2023,available,available,not available,available,available,available,available,available,available
12/15/2023,not available,available,available,not available,not available,not available,available,available,not available
12/16/2023,not available,not available,available,not available,not available,available,available,available,not available
12/17/2023,available,not available,available,available,available,not available,not available,not available,available
12/18/2023,available,available,available,available,not available,available,available,available,available
12/19/2023,available,not available,not available,available,not available,not available,available,not available,available
12/20/2023,not available,available,available,not available,available,available,available,available,not available
12/21/2023,available,not available,available,available,available,not available,available,available,available
12/22/2023,not available,available,not available,not available,not available,available,not available,available,available
12/23/2023,available,not available,not available,available,not available,not available,not available,available,available
12/24/2023,available,not available,not available,available,available,available,not available,not available,available
12/25/2023,available,available,available,available,not available,not available,not available,not available,not available
12/26/2023,not available,not available,available,not available,available,not available,not available,not available,available
12/27/2023,available,available,not available,available,not available,available,not available,not available,not available
12/28/2023,available,not available,available,available,available,available,not available,not available,available
12/29/2023,available,not available,not available,available,not available,available,available,not available,available
12/30/2023,available,available,not available,available,available,available,available,available,available
12/31/2023,not available,available,available,not available,not available,not available,available,available,not available
